current_pos,player_first_last,current_score,current_points,round,thru,today,R1,R2,R3,R4,win,top_5,top_10,make_cut,last_update,event_name,tourney_num
1,Wyndham Clark,-30,50,4,18,-11,66,63,65,60,100,100,100,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
2,Si Woo Kim,-27,25,4,18,-6,64,60,68,65,0,100,100,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
3,Scottie Scheffler,-25,25,4,18,-6,66,63,65,65,0,100,100,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
4,Jackson Suber,-23,25,4,18,-8,68,61,69,63,0,100,100,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
5,Keith Mitchell,-22,25,4,18,-7,64,66,68,64,0,100,100,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
T6,Zach Bauchou,-20,15,4,18,-4,67,64,66,67,0,0,100,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
T6,Tony Finau,-20,15,4,18,-6,67,63,69,65,0,0,100,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
T6,Tom Hoge,-20,15,4,18,-3,68,62,66,68,0,0,100,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
T9,Jesper Svensson,-19,15,4,18,-6,63,72,65,65,0,0,100,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
T9,Sungjae Im,-19,15,4,18,-2,68,61,67,69,0,0,100,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
T9,Stephan Jaeger,-19,15,4,18,-2,64,68,64,69,0,0,100,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
T9,Johnny Keefer,-19,15,4,18,-8,66,69,67,63,0,0,100,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
T9,Max Greyserman,-19,15,4,18,-4,71,62,65,67,0,0,100,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
T14,Blades Brown,-18,7,4,18,-4,66,68,65,67,0,0,0,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
T14,Brooks Koepka,-18,7,4,18,-3,63,69,66,68,0,0,0,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
T14,Taylor Moore,-18,7,4,18,-5,62,69,69,66,0,0,0,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
17,Ben Silverman,-17,7,4,18,-5,68,66,67,66,0,0,0,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
18,S.Y. Noh,-16,7,4,18,-3,67,66,67,68,0,0,0,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
T19,Rico Hoey,-15,7,4,18,-3,67,66,68,68,0,0,0,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
T19,Seamus Power,-15,7,4,18,-4,66,65,71,67,0,0,0,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
T19,Garrick Higgo,-15,7,4,18,-8,69,67,70,63,0,0,0,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
T19,Kensei Hirata,-15,7,4,18,-1,64,65,70,70,0,0,0,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
T19,Steven Fisk,-15,7,4,18,-2,69,64,67,69,0,0,0,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
T19,Jordan Spieth,-15,7,4,18,-5,68,62,73,66,0,0,0,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
T19,Erik Van Rooyen,-15,7,4,18,-1,66,67,66,70,0,0,0,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
T19,Ryo Hisatsune,-15,7,4,18,-2,67,68,65,69,0,0,0,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
T19,Peter Malnati,-15,7,4,18,-3,69,65,67,68,0,0,0,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
T19,Rasmus Neergaard-Petersen,-15,7,4,18,-2,66,66,68,69,0,0,0,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
T19,Pierceson Coody,-15,7,4,18,-4,68,65,69,67,0,0,0,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
T19,A.J. Ewart,-15,7,4,18,-5,66,67,70,66,0,0,0,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
T31,Mac Meissner,-14,1,4,18,-4,68,64,71,67,0,0,0,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
T31,Luke Clanton,-14,1,4,18,-4,66,66,71,67,0,0,0,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
T31,Chris Kirk,-14,1,4,18,-2,67,66,68,69,0,0,0,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
T31,Eric Cole,-14,1,4,18,-6,68,67,70,65,0,0,0,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
T31,Mark Hubbard,-14,1,4,18,-3,66,67,69,68,0,0,0,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
T31,Doug Ghim,-14,1,4,18,-4,65,69,69,67,0,0,0,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
T31,Sam Ryder,-14,1,4,18,-2,68,65,68,69,0,0,0,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
T38,Chan Kim,-13,1,4,18,-2,66,65,71,69,0,0,0,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
T38,Emiliano Grillo,-13,1,4,18,-3,64,69,70,68,0,0,0,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
T40,Neal Shipley,-12,1,4,18,-4,66,70,69,67,0,0,0,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
T40,Camilo Villegas,-12,1,4,18,0,67,65,69,71,0,0,0,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
T40,Tyler Duncan,-12,1,4,18,-1,64,66,72,70,0,0,0,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
T40,Luke List,-12,1,4,18,-1,66,66,70,70,0,0,0,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
T40,Matthieu Pavon,-12,1,4,18,-2,67,69,67,69,0,0,0,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
T40,Adrien Saddier,-12,1,4,18,-2,66,70,67,69,0,0,0,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
T40,Austin Eckroat,-12,1,4,18,0,65,71,65,71,0,0,0,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
T47,John Parry,-11,1,4,18,-2,68,66,70,69,0,0,0,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
T47,Taylor Pendrith,-11,1,4,18,-3,67,67,71,68,0,0,0,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
T47,Patrick Rodgers,-11,1,4,18,0,68,65,69,71,0,0,0,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
T47,Fabian Gomez,-11,1,4,18,-2,67,69,68,69,0,0,0,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
T47,Justin Lower,-11,1,4,18,-1,68,68,67,70,0,0,0,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
T47,Dan Brown,-11,1,4,18,-4,69,67,70,67,0,0,0,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
T47,Patrick Fishburn,-11,1,4,18,0,66,67,69,71,0,0,0,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
T54,Charley Hoffman,-10,1,4,18,0,68,66,69,71,0,0,0,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
T54,Jeffrey Kang,-10,1,4,18,0,68,67,68,71,0,0,0,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
T54,Adam Svensson,-10,1,4,18,-4,68,68,71,67,0,0,0,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
T54,Troy Merritt,-10,1,4,18,1,67,67,68,72,0,0,0,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
T54,Tom Kim,-10,1,4,18,-1,68,67,69,70,0,0,0,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
T59,Chad Ramey,-9,1,4,18,-2,67,66,73,69,0,0,0,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
T59,Jonathan Byrd,-9,1,4,18,-1,67,69,69,70,0,0,0,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
T59,Jordan Smith,-9,1,4,18,0,67,67,70,71,0,0,0,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
T62,Rasmus Hojgaard,-8,1,4,18,1,70,65,69,72,0,0,0,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
T62,Thorbjorn Olesen,-8,1,4,18,0,71,65,69,71,0,0,0,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
T62,Yongjun Bae,-8,1,4,18,0,68,66,71,71,0,0,0,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
T62,Hank Lebioda,-8,1,4,18,1,65,68,71,72,0,0,0,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
66,Mackenzie Hughes,-7,1,4,18,0,65,69,72,71,0,0,0,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Michael Thorbjornsen,-5,0,2,0,0,64,73,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Carson Young,-5,0,2,0,0,70,67,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
T67,John VanDerLaan,-5,1,4,18,3,67,67,71,74,0,0,0,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Christiaan Bezuidenhout,-5,0,2,0,0,68,69,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Michael Brennan,-5,0,2,0,0,68,69,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
T67,Lanto Griffin,-5,1,4,18,0,65,69,74,71,0,0,0,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Scott Piercy,-5,0,2,0,0,71,66,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Haotong Li,-5,0,2,0,0,68,69,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Robert Streb,-5,0,2,0,0,70,67,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Hayden Springer,-5,0,2,0,0,70,67,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Zecheng Dou,-5,0,2,0,0,68,69,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Jackson Buchanan,-5,0,2,0,0,69,68,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Nick Hardy,-5,0,2,0,0,69,68,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Jeremy Paul,-4,0,2,0,0,69,69,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Nick Dunlap,-4,0,2,0,0,73,65,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Max McGreevy,-4,0,2,0,0,68,70,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,William Sides,-4,0,2,0,0,73,65,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Davis Chatfield,-4,0,2,0,0,68,70,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Mason Howell,-4,0,2,0,0,68,70,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Patton Kizzire,-4,0,2,0,0,68,70,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Noah Goodwin,-4,0,2,0,0,69,69,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Lee Hodges,-4,0,2,0,0,70,68,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Will Gordon,-4,0,2,0,0,70,68,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Vince Whaley,-4,0,2,0,0,68,70,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
69,Zac Blair,-4,1,4,18,2,70,65,72,73,0,0,0,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Karl Vilips,-4,0,2,0,0,70,68,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Kris Ventura,-4,0,2,0,0,72,66,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Kevin Yu,-4,0,2,0,0,69,69,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
70,Danny Willett,-3,1,4,18,4,69,67,70,75,0,0,0,100,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Marcelo Rozo,-3,0,2,0,0,70,69,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Ben Martin,-3,0,2,0,0,69,70,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Chandler Phillips,-3,0,2,0,0,69,70,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Aaron Wise,-3,0,2,0,0,70,69,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Adrien Dumont De Chassart,-3,0,2,0,0,70,69,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Ronin Banerjee,-3,0,2,0,0,71,68,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Alejandro Tosti,-3,0,2,0,0,70,69,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,K.H. Lee,-3,0,2,0,0,69,70,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Billy Horschel,-3,0,2,0,0,70,69,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Beau Hossler,-3,0,2,0,0,66,73,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,David Skinns,-3,0,2,0,0,69,70,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Keita Nakajima,-3,0,2,0,0,70,69,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Matti Schmid,-3,0,2,0,0,70,69,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Dylan Wu,-3,0,2,0,0,69,70,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Paul Peterson,-3,0,2,0,0,70,69,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,William Mouw,-2,0,2,0,0,73,67,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Matt Kuchar,-2,0,2,0,0,69,71,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Martin Laird,-2,0,2,0,0,70,70,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Trace Crowe,-2,0,2,0,0,70,70,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Davis Riley,-2,0,2,0,0,70,70,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Ryan Brehm,-2,0,2,0,0,70,70,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Cam Davis,-2,0,2,0,0,74,66,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Danny Walker,-1,0,2,0,0,71,70,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Jhonattan Vegas,-1,0,2,0,0,74,67,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Taylor Montgomery,-1,0,2,0,0,71,70,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Harry Higgs,-1,0,2,0,0,70,71,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Adam Hadwin,-1,0,2,0,0,75,66,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Joel Dahmen,-1,0,2,0,0,70,71,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Chandler Blanchet,0,0,2,0,0,70,72,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Takumi Kanaya,0,0,2,0,0,70,72,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Davis Thompson,0,0,2,0,0,69,73,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Ben Kohles,0,0,2,0,0,73,69,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Adam Schenk,0,0,2,0,0,75,67,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Jimmy Stanger,0,0,2,0,0,74,68,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
WD,Cameron Champ,0,0,2,0,0,74,,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Kevin Streelman,0,0,2,0,0,76,66,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Pontus Nyholm,0,0,2,0,0,68,74,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,James Hahn,1,0,2,0,0,72,71,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Christo Lamprecht,2,0,2,0,0,71,73,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Rafael Campos,2,0,2,0,0,75,69,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Brice Garnett,2,0,2,0,0,71,73,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Preston Stout,3,0,2,0,0,69,76,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Austin Cook,4,0,2,0,0,76,70,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Henrik Norlander,4,0,2,0,0,75,71,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Kevin Roy,4,0,2,0,0,75,71,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Joe Highsmith,5,0,2,0,0,72,75,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Ryan Palmer,6,0,2,0,0,77,71,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Gordon Sargent,6,0,2,0,0,73,75,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Greg Gregory,8,0,2,0,0,75,75,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Alex Huang,9,0,2,0,0,76,75,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Adam Headley,12,0,2,0,0,76,78,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
CUT,Nathan Petronzio,13,0,2,0,0,80,75,,,0,0,0,0,5/24/2026 16:55,THE CJ CUP Byron Nelson,20
